TYPE,BRAND,FLEET,QAIG,REG/PLAT,MODEL,CAPACITY,CHASIS,FLEET S/N,OWNERSHIP,REMARKS
TYPE-> CRANE,BRAND-> LIEBHERR,FLEET-> K-8407,QAIG-AT-18,REG/PLATE-> 15863,MODEL-> LTM-1045/1,CAP-> 45_TON,N/A,S/N-> 053395,OWNERSHIP-> OWNERSHIP-> SARENS-GULF,
TYPE-> CRANE,BRAND-> TEREX-DEMAG,FLEET-> K-8413,QAIG-CC-53,REG/PLATE-> 23606,MODEL-> CC1800,CAP-> 300_TON,N/A,S/N-> 55085,OWNERSHIP-> SARENS-GULF,
TYPE-> CRANE,BRAND-> LIEBHERR,FLEET-> K-525,QAIG-CC-78,REG/PLATE-> 25873,MODEL-> LR-1400,CAP-> 400_TON,N/A,S/N-> 0015104,OWNERSHIP-> SARENS-GULF,
TYPE-> CRANE,BRAND-> LIEBHERR,FLEET-> K-8689,QAIG-CC-87,REG/PLATE-> 59920,MODEL-> LR-1200,CAP-> 200_TON,N/A,S/N-> 135047,OWNERSHIP-> SARENS-GULF,
TYPE-> CRANE,BRAND-> LIEBHERR,FLEET-> K-8680,QAIG-CC-93,REG/PLATE-> 27491,MODEL-> LR-1100,CAP-> 100_TON,N/A,S/N-> 133080,OWNERSHIP-> SARENS-GULF,
TYPE-> CRANE,BRAND-> LIEBHERR,FLEET-> K-8804,QAIG-AT-95,REG/PLATE-> 27509,MODEL-> LTM-1045-3.1,CAP-> 45_TON,N/A,S/N-> 053656,OWNERSHIP-> SARENS-GULF,
TYPE-> CRANE,BRAND-> LIEBHERR,FLEET-> K-8843,QAIG-AT-98,REG/PLATE-> 4438,MODEL-> LTM-1090-4.1,CAP-> 90_TON,N/A,S/N-> 061982,OWNERSHIP-> SARENS-GULF,
TYPE-> CRANE,BRAND-> LIEBHERR,FLEET-> K-8834,QAIG-CC-100,REG/PLATE-> 48656,MODEL-> LR-1130,CAP-> 130_TON,N/A,S/N-> 137072,OWNERSHIP-> SARENS-GULF,
TYPE-> CRANE,BRAND-> LIEBHERR,FLEET-> K-8815,QAIG-AT-101,REG/PLATE-> 29797,MODEL-> LTM-1090-4.1,CAP-> 90_TON,N/A,S/N-> 61955,OWNERSHIP-> SARENS-GULF,
TYPE-> CRANE,BRAND-> LIEBHERR,FLEET-> K-2934,QAIG-AT-107,REG/PLATE-> 31478,MODEL-> LTM-1500---8.1,CAP-> 500_TON,N/A,S/N-> 073193,OWNERSHIP-> SARENS-GULF,
TYPE-> CRANE,BRAND-> KOBELCO,FLEET-> K-2968,QAIG-CC-115,REG/PLATE-> 33379,MODEL-> CKE-900---1F,CAP-> 90_TON,N/A,S/N-> GH03-02208,OWNERSHIP-> SARENS-GULF,
TYPE-> CRANE,BRAND-> LIEBHERR,FLEET-> K-5085,QAIG-AT-119,REG/PLATE-> 50243,MODEL-> LTM-1160-5.1,CAP-> 160_TON,N/A,S/N-> 067533,OWNERSHIP-> SARENS-GULF,
TYPE-> CRANE,BRAND-> LIEBHERR,FLEET-> K-8790,QAIG-CC-120,REG/PLATE-> 51734,MODEL-> LR-1130,CAP-> 130_TON,N/A,S/N-> 137050,OWNERSHIP-> SARENS-GULF,
TYPE-> CRANE,BRAND-> LIEBHERR,FLEET-> K-5507,QAIG-CC-121,REG/PLATE-> 53379,MODEL-> LR-1300,CAP-> 300_TON,N/A,S/N-> 138196,OWNERSHIP-> SARENS-GULF,
TYPE-> CRANE,BRAND-> LIEBHERR,FLEET-> K-8812,QAIG-AT-122,REG/PLATE-> 52658,MODEL-> LTM-1160-5.1,CAP-> 160_TON,N/A,S/N-> 067306,OWNERSHIP-> SARENS-GULF,
TYPE-> CRANE,BRAND-> LIEBHERR,FLEET-> K-5139,QAIG-AT-123,REG/PLATE-> 53076,MODEL-> LTM-1500-8.1,CAP-> 500_TON,N/A,S/N-> 073379,OWNERSHIP-> SARENS-GULF,
TYPE-> CRANE,BRAND-> LIEBHERR,FLEET-> K-5584,QAIG-CC-124,REG/PLATE-> 53346,MODEL-> LR-1250,CAP-> 250_TON,N/A,S/N-> 135154,OWNERSHIP-> SARENS-GULF,
TYPE-> CRANE,BRAND-> SENNEBOGEN,FLEET-> K-1376,QAIG-CC-126,REG/PLATE-> 54207,MODEL-> S5500,CAP-> 180_TON,N/A,S/N-> 55005199,OWNERSHIP-> SARENS-GULF,
TYPE-> CRANE,BRAND-> SENNEBOGEN,FLEET-> K-1374,QAIG-CC-128,REG/PLATE-> 54205,MODEL-> S5500,CAP-> 180_TON,N/A,S/N-> 55005197,OWNERSHIP-> SARENS-GULF,
